	log_likelihood
0	3803.84814453125
1	3803.77587890625
2	3803.758544921875
3	3803.60546875
4	3803.81201171875
5	3803.811279296875
6	3803.93798828125
7	3803.66259765625
8	3803.81396484375
9	3803.907470703125
10	3803.797607421875
11	3803.83056640625
12	3803.58837890625
13	3803.850830078125
14	3803.823486328125
15	3803.819580078125
16	3803.82177734375
17	3803.810546875
18	3803.86328125
19	3803.839111328125
20	3803.903076171875
21	3803.944580078125
22	3803.71142578125
23	3803.658203125
24	3803.7734375
25	3803.93359375
26	3803.753173828125
27	3804.7109375
28	3803.72705078125
29	3803.79931640625
30	3803.73583984375
31	3803.79443359375
32	3803.82666015625
33	3803.809814453125
34	3803.792236328125
35	3803.871826171875
36	3803.839111328125
37	3803.772216796875
38	3803.732421875
39	3803.842529296875
40	3803.848876953125
41	3803.90087890625
42	3803.86474609375
43	3803.811279296875
44	3803.87158203125
45	3803.837158203125
46	3803.835205078125
47	3803.663330078125
48	3803.766845703125
49	3803.774169921875
50	3803.806640625
51	3803.77099609375
52	3803.73681640625
53	3803.8984375
54	3803.774169921875
55	3803.77734375
56	3803.26171875
57	3803.774169921875
58	3803.73876953125
59	3803.83056640625
60	3803.803955078125
61	3803.75
62	3803.83447265625
63	3803.674560546875
64	3803.77685546875
65	3803.919189453125
66	3803.749267578125
67	3803.805419921875
68	3803.871826171875
69	3803.75048828125
70	3803.617919921875
71	3803.79052734375
72	3803.85400390625
73	3803.76953125
74	3803.78955078125
75	3803.827392578125
76	3803.852294921875
77	3803.986328125
78	3803.782470703125
79	3804.60205078125
80	3803.80712890625
81	3803.81298828125
82	3803.74560546875
83	3803.663330078125
84	3803.83203125
85	3803.85498046875
86	3803.723876953125
87	3803.822998046875
88	3803.77587890625
89	3803.743408203125
90	3803.813232421875
91	3803.79150390625
92	3803.781982421875
93	3803.83837890625
94	3803.771484375
95	3803.813720703125
96	3804.24072265625
97	3803.82421875
98	3803.768310546875
99	3803.786376953125
100	3803.81396484375
101	3803.865966796875
102	3803.87109375
103	3803.8984375
104	3803.86328125
105	3803.885498046875
106	3803.79150390625
107	3803.84765625
108	3803.75927734375
109	3803.85791015625
110	3803.80224609375
111	3803.729248046875
112	3803.786376953125
113	3804.0546875
114	3803.77001953125
115	3803.79296875
116	3803.90625
117	3803.79638671875
118	3803.791748046875
119	3803.83203125
120	3803.844482421875
121	3803.891845703125
