	log_likelihood
0	-29.680627822875977
1	-29.438629150390625
2	-26.5179386138916
3	-29.20090103149414
4	-24.17253303527832
5	-29.29073143005371
6	-28.74552345275879
7	-28.54606056213379
8	-26.79201889038086
9	-28.726131439208984
10	-29.0667781829834
11	-29.117061614990234
12	-26.27142906188965
13	-29.618621826171875
14	-28.953060150146484
15	-28.950286865234375
16	-25.913692474365234
17	-26.0815372467041
18	-28.869415283203125
19	-28.681438446044922
20	-24.772388458251953
21	-25.797983169555664
22	-28.782974243164062
23	-23.894493103027344
24	-23.6252498626709
25	-23.050045013427734
26	-33.645729064941406
27	-28.839550018310547
28	-29.0004940032959
29	-26.5556640625
30	-28.329418182373047
31	-27.70523452758789
32	-28.89813232421875
33	-27.693456649780273
34	-35.5499153137207
35	-28.864349365234375
36	-24.191360473632812
37	-35.88020706176758
38	-25.31470489501953
39	-24.22713851928711
40	-24.36798095703125
41	-24.97408676147461
42	-29.261974334716797
43	-24.676006317138672
44	-22.924318313598633
45	-27.397098541259766
46	-23.658527374267578
47	-25.904613494873047
48	-25.819271087646484
49	-23.740970611572266
50	-28.884790420532227
51	-28.278711318969727
52	-23.652606964111328
53	-25.89703941345215
54	-23.52105140686035
55	-24.256959915161133
56	-31.456058502197266
57	-26.898662567138672
58	-28.248779296875
59	-27.66183090209961
60	-27.771770477294922
61	-25.1541690826416
62	-36.05031204223633
63	-27.60064697265625
64	-24.792858123779297
65	-28.354877471923828
66	-23.87655258178711
67	-23.773853302001953
68	-25.36940574645996
69	-23.945711135864258
70	-24.18003273010254
71	-28.884078979492188
72	-23.364574432373047
73	-26.409488677978516
74	-24.34320640563965
75	-28.454238891601562
76	-27.856021881103516
77	-31.18973159790039
78	-24.308055877685547
79	-22.809642791748047
80	-29.016164779663086
81	-32.65099334716797
82	-24.484561920166016
83	-24.863107681274414
84	-27.997711181640625
85	-25.008235931396484
86	-25.319503784179688
87	-28.455093383789062
88	-25.097747802734375
89	-28.788827896118164
90	-25.814395904541016
91	-26.824932098388672
92	-30.6881103515625
93	-23.2674560546875
94	-28.972579956054688
95	-27.23629379272461
96	-28.76865577697754
97	-28.726221084594727
98	-28.8877010345459
99	-25.037778854370117
100	-24.29142189025879
101	-28.749099731445312
102	-24.28221321105957
103	-23.953720092773438
104	-28.369583129882812
105	-23.69757652282715
106	-28.662151336669922
107	-24.9373722076416
108	-25.057092666625977
109	-28.758880615234375
110	-28.69354820251465
111	-22.864858627319336
112	-25.853769302368164
113	-24.272815704345703
114	-24.997665405273438
115	-24.343151092529297
116	-24.49387550354004
117	-25.064327239990234
118	-24.527729034423828
119	-24.584373474121094
120	-30.562002182006836
121	-24.53502655029297
122	-24.332759857177734
123	-28.731054306030273
124	-27.654129028320312
125	-27.869226455688477
126	-29.170726776123047
127	-25.284008026123047
128	-30.002431869506836
129	-26.278921127319336
130	-25.431575775146484
131	-24.7404842376709
132	-24.483665466308594
133	-24.518844604492188
134	-31.001129150390625
135	-29.019062042236328
136	-28.362903594970703
137	-28.736251831054688
138	-23.93252182006836
139	-25.15420913696289
140	-24.22659683227539
141	-28.5599308013916
142	-25.035064697265625
143	-25.620452880859375
144	-26.18600082397461
145	-24.631563186645508
146	-25.64413070678711
147	-24.028240203857422
148	-27.854406356811523
149	-28.265544891357422
150	-24.814529418945312
151	-25.097537994384766
152	-26.49844741821289
153	-25.872304916381836
154	-24.663429260253906
155	-25.018701553344727
156	-24.700040817260742
157	-25.007694244384766
158	-24.880176544189453
159	-25.038654327392578
160	-24.83991813659668
161	-26.6326847076416
162	-26.900615692138672
163	-24.635761260986328
164	-27.23007583618164
165	-28.710073471069336
166	-34.048866271972656
167	-24.849220275878906
168	-23.226669311523438
169	-24.7415828704834
170	-28.733484268188477
171	-24.308271408081055
172	-25.021692276000977
173	-24.917236328125
174	-24.743999481201172
175	-28.716899871826172
176	-24.466205596923828
177	-33.8226432800293
178	-24.887434005737305
179	-24.833351135253906
180	-26.38115882873535
181	-25.73577308654785
182	-28.708349227905273
183	-28.70139503479004
184	-24.905147552490234
185	-24.73468589782715
186	-25.001367568969727
187	-24.794103622436523
188	-24.921010971069336
189	-28.560943603515625
190	-24.9766788482666
191	-24.87288475036621
192	-28.15886878967285
193	-24.945802688598633
194	-24.915882110595703
195	-25.464359283447266
196	-25.13908576965332
197	-28.06919288635254
198	-24.4149227142334
199	-28.40877342224121
200	-28.703908920288086
201	-24.97342872619629
202	-24.618724822998047
203	-25.091543197631836
204	-24.934412002563477
205	-24.83049964904785
206	-28.6866512298584
207	-24.937829971313477
208	-24.725736618041992
209	-26.492145538330078
210	-25.416027069091797
211	-24.722362518310547
212	-24.73492431640625
213	-24.77118492126465
214	-25.18524169921875
215	-24.764163970947266
216	-24.6926212310791
217	-25.474136352539062
218	-26.657459259033203
219	-23.383804321289062
220	-24.739269256591797
221	-24.901296615600586
222	-24.792362213134766
223	-24.99112319946289
224	-24.927064895629883
225	-23.92555809020996
226	-24.646915435791016
227	-24.953510284423828
228	-24.82061195373535
229	-24.809764862060547
230	-24.928218841552734
231	-25.421707153320312
232	-24.64934730529785
233	-25.081356048583984
234	-24.8243465423584
235	-25.144617080688477
236	-24.797822952270508
237	-24.807706832885742
238	-24.936269760131836
239	-24.820127487182617
240	-27.556564331054688
241	-24.827579498291016
242	-24.978979110717773
243	-24.818920135498047
244	-28.464550018310547
245	-24.832143783569336
246	-26.946670532226562
247	-24.792150497436523
248	-24.811992645263672
249	-24.838777542114258
250	-24.901704788208008
251	-25.653141021728516
252	-24.843814849853516
253	-32.047306060791016
254	-24.832834243774414
255	-24.847286224365234
256	-24.791885375976562
257	-23.254201889038086
258	-29.106155395507812
259	-25.023845672607422
260	-25.011493682861328
261	-32.11202621459961
262	-24.856658935546875
263	-24.802886962890625
264	-24.81095314025879
265	-24.891620635986328
266	-28.67898941040039
267	-22.93781089782715
268	-24.78214454650879
269	-24.827693939208984
270	-24.832603454589844
271	-27.123153686523438
272	-24.811107635498047
273	-24.828723907470703
274	-25.251766204833984
275	-24.596494674682617
276	-24.875661849975586
277	-24.670108795166016
278	-24.83060073852539
279	-25.14703941345215
280	-24.502887725830078
281	-24.81155014038086
282	-24.789623260498047
283	-24.727880477905273
284	-26.0537166595459
285	-24.814788818359375
286	-24.891984939575195
287	-25.2185001373291
288	-24.783185958862305
289	-28.13555908203125
290	-24.910045623779297
291	-28.21055030822754
292	-28.6536865234375
293	-24.534013748168945
294	-27.203441619873047
295	-25.001178741455078
296	-24.578601837158203
297	-24.893444061279297
298	-24.835182189941406
299	-24.699520111083984
300	-24.86128807067871
301	-24.76139259338379
302	-24.908836364746094
303	-24.824752807617188
304	-28.71819496154785
305	-24.734844207763672
306	-28.08096694946289
307	-24.83487892150879
308	-27.65878677368164
309	-25.36419677734375
310	-25.30011749267578
311	-24.94014549255371
312	-24.927038192749023
313	-25.200712203979492
314	-28.656078338623047
315	-25.172130584716797
316	-25.758813858032227
317	-26.228418350219727
318	-25.324758529663086
319	-25.494659423828125
320	-24.819089889526367
321	-24.810693740844727
322	-24.733348846435547
323	-24.72195816040039
324	-25.143474578857422
325	-24.789043426513672
326	-28.459640502929688
327	-24.712156295776367
328	-24.416505813598633
329	-25.12348747253418
330	-25.780120849609375
331	-24.79403305053711
332	-25.499649047851562
333	-24.988632202148438
334	-24.884578704833984
335	-26.05352210998535
336	-25.413909912109375
337	-28.596263885498047
338	-25.276809692382812
339	-27.668865203857422
340	-28.431591033935547
341	-26.497394561767578
342	-25.005813598632812
343	-25.315053939819336
344	-25.961124420166016
345	-26.549434661865234
346	-24.863784790039062
347	-24.697998046875
348	-25.41092300415039
349	-26.336868286132812
350	-25.064090728759766
351	-28.584400177001953
352	-24.860368728637695
353	-25.09722328186035
354	-25.583131790161133
355	-26.01944923400879
356	-24.78713607788086
357	-26.484867095947266
358	-28.46975326538086
359	-28.405181884765625
360	-26.16787338256836
361	-24.666610717773438
362	-25.561344146728516
363	-28.37477684020996
364	-25.92217445373535
365	-25.333017349243164
366	-26.034841537475586
367	-24.93181037902832
368	-25.8746337890625
369	-23.761425018310547
370	-28.628986358642578
371	-26.299091339111328
372	-24.690439224243164
373	-27.298742294311523
374	-25.445587158203125
375	-25.192567825317383
376	-24.92403221130371
377	-24.897510528564453
378	-25.033775329589844
379	-24.890390396118164
380	-27.81101417541504
381	-24.520532608032227
382	-25.161758422851562
383	-25.982650756835938
384	-24.83675193786621
385	-28.375967025756836
386	-26.035877227783203
387	-22.804325103759766
388	-25.073440551757812
389	-24.40188980102539
390	-25.30025863647461
391	-26.80389404296875
392	-27.94841957092285
393	-28.30056381225586
394	-28.57455825805664
395	-25.09254264831543
396	-25.21382713317871
397	-25.731359481811523
398	-27.190006256103516
399	-26.48971176147461
400	-24.123414993286133
401	-26.608943939208984
402	-27.039947509765625
403	-24.674938201904297
404	-26.7829532623291
405	-28.31217384338379
406	-25.26433753967285
407	-25.434612274169922
408	-28.389904022216797
409	-25.33930015563965
410	-27.56669044494629
411	-28.27964210510254
412	-26.79732894897461
413	-25.18567657470703
414	-27.125011444091797
415	-24.836694717407227
416	-25.146183013916016
417	-25.435110092163086
418	-26.876028060913086
419	-24.947620391845703
420	-27.406444549560547
421	-26.110559463500977
422	-25.08169937133789
423	-27.42484474182129
424	-25.060192108154297
425	-24.948360443115234
426	-25.744449615478516
427	-26.925649642944336
428	-24.692317962646484
429	-25.185537338256836
430	-26.18014907836914
431	-26.007577896118164
432	-27.773300170898438
433	-28.024585723876953
434	-25.7420597076416
435	-26.200061798095703
436	-25.70253562927246
437	-26.069171905517578
438	-25.245990753173828
439	-25.63144302368164
440	-27.866703033447266
441	-26.914926528930664
442	-28.301715850830078
443	-25.711868286132812
444	-27.177175521850586
445	-27.388290405273438
446	-26.649173736572266
447	-27.108362197875977
448	-26.499820709228516
449	-26.647891998291016
450	-27.247188568115234
451	-26.54526710510254
452	-26.120840072631836
453	-27.58388328552246
454	-27.066442489624023
455	-23.151203155517578
456	-27.922664642333984
457	-26.8885498046875
458	-26.447790145874023
459	-27.16973876953125
460	-23.299335479736328
461	-23.66813087463379
462	-24.89816665649414
463	-28.38409423828125
464	-26.310312271118164
465	-27.4700870513916
466	-24.903472900390625
467	-26.516040802001953
468	-26.00104331970215
469	-28.225116729736328
470	-26.520593643188477
471	-26.895437240600586
472	-28.04636573791504
473	-27.263580322265625
474	-26.524627685546875
475	-26.734424591064453
476	-25.746185302734375
477	-26.950695037841797
478	-27.456501007080078
479	-26.236669540405273
480	-26.997711181640625
481	-27.6805419921875
482	-26.61984634399414
483	-22.7174015045166
484	-26.040340423583984
485	-25.94931983947754
486	-25.605676651000977
487	-26.9312744140625
488	-26.220361709594727
489	-26.431163787841797
490	-26.678104400634766
491	-26.940195083618164
492	-25.692699432373047
493	-27.506580352783203
494	-25.589025497436523
495	-26.344951629638672
496	-27.324016571044922
497	-27.821147918701172
498	-26.763992309570312
499	-26.091175079345703
500	-27.12294578552246
501	-26.885791778564453
502	-26.259817123413086
503	-27.153696060180664
504	-26.849802017211914
505	-26.980205535888672
506	-28.278026580810547
507	-27.2126407623291
508	-26.335256576538086
509	-26.439987182617188
510	-27.611907958984375
511	-26.939224243164062
512	-27.510339736938477
513	-27.13079261779785
514	-27.497573852539062
515	-27.01459312438965
516	-26.846912384033203
517	-26.941919326782227
518	-24.685848236083984
519	-24.66863250732422
520	-25.39578628540039
521	-27.554882049560547
522	-25.653539657592773
523	-25.675861358642578
524	-27.023605346679688
525	-26.641311645507812
526	-27.324819564819336
527	-27.59126853942871
528	-26.799341201782227
529	-26.363155364990234
530	-26.74845314025879
531	-26.77187728881836
532	-26.777206420898438
533	-25.5462589263916
534	-25.97262191772461
535	-27.420568466186523
536	-25.692413330078125
537	-25.254804611206055
538	-26.871105194091797
539	-27.87606430053711
540	-27.26120948791504
541	-26.372589111328125
542	-25.966867446899414
543	-27.322214126586914
544	-26.370113372802734
545	-25.433082580566406
546	-25.362030029296875
547	-26.211200714111328
548	-26.76604652404785
549	-27.342121124267578
550	-27.275554656982422
551	-26.621990203857422
552	-27.818771362304688
553	-27.732086181640625
554	-27.435800552368164
555	-27.7879581451416
556	-24.225536346435547
557	-24.573257446289062
558	-24.56655502319336
559	-27.753671646118164
560	-26.909805297851562
561	-27.48240089416504
562	-26.74932861328125
563	-28.521072387695312
564	-23.76491355895996
565	-27.54758644104004
566	-27.793712615966797
567	-24.075084686279297
568	-26.055034637451172
569	-27.658214569091797
570	-27.496479034423828
571	-27.264062881469727
572	-27.3973331451416
573	-23.168317794799805
574	-25.653461456298828
575	-26.64520263671875
576	-27.538524627685547
577	-26.738128662109375
578	-27.502899169921875
579	-27.41164779663086
580	-27.138484954833984
581	-27.82708168029785
582	-28.407970428466797
583	-27.349197387695312
584	-27.2093563079834
585	-27.86773109436035
586	-27.692214965820312
587	-23.99635887145996
588	-27.737014770507812
589	-26.779489517211914
590	-27.598690032958984
591	-25.476905822753906
592	-22.69144630432129
593	-27.217971801757812
594	-27.64070701599121
595	-27.556713104248047
596	-26.009601593017578
597	-28.380992889404297
598	-27.463098526000977
599	-26.757944107055664
600	-26.03753089904785
601	-27.708328247070312
602	-27.998254776000977
603	-22.598806381225586
604	-27.133502960205078
605	-25.17244529724121
606	-26.477279663085938
607	-27.578893661499023
608	-27.722698211669922
609	-25.585556030273438
610	-26.764928817749023
611	-27.877429962158203
612	-27.655941009521484
613	-27.485530853271484
614	-27.4531192779541
615	-26.917888641357422
616	-26.162185668945312
617	-27.868560791015625
618	-27.67397689819336
619	-27.5416202545166
620	-24.628326416015625
621	-23.44309425354004
622	-26.429025650024414
623	-26.768346786499023
624	-26.462078094482422
625	-22.330516815185547
626	-27.576101303100586
627	-27.731769561767578
628	-22.59632682800293
629	-27.962291717529297
630	-26.117666244506836
631	-22.326034545898438
632	-26.843669891357422
633	-26.843555450439453
634	-27.479671478271484
635	-27.659622192382812
636	-22.330455780029297
637	-27.763845443725586
638	-27.042749404907227
639	-28.402090072631836
640	-27.64236831665039
641	-27.377172470092773
642	-27.008434295654297
643	-27.196481704711914
