	log_likelihood
0	58418.91796875
1	58460.98828125
2	58213.98828125
3	58347.70703125
4	58166.08203125
5	58409.6015625
6	58525.92578125
7	58351.07421875
8	58411.58203125
9	58474.41796875
10	58538.1640625
11	58596.36328125
12	58434.4140625
13	58306.80078125
14	58456.6796875
15	58520.3125
16	58233.1171875
17	58247.9140625
18	58516.88671875
19	58467.82421875
20	58513.9375
21	58212.54296875
22	58502.625
23	58498.3828125
24	58347.6875
25	58470.0078125
26	58515.01953125
27	58437.95703125
28	58490.5546875
29	58424.5625
30	58366.58203125
31	58451.92578125
32	58493.9921875
33	58349.83203125
34	58484.76171875
35	58357.2734375
36	58495.11328125
37	58419.3125
38	58291.40625
39	58504.85546875
40	58526.3984375
41	58543.57421875
42	58450.6796875
43	58494.20703125
44	58550.5
45	58584.9609375
46	58510.25
47	58522.98828125
48	58481.7109375
49	58513.73828125
50	58522.4296875
51	58562.8828125
52	58515.11328125
53	57895.44921875
54	58532.4609375
55	58521.0078125
56	58518.46875
57	58492.0859375
58	58441.23828125
59	58521.51953125
60	58481.4765625
61	58529.07421875
62	58517.34375
63	58430.63671875
64	58489.6953125
65	58505.875
66	58577.64453125
67	58578.28125
68	58518.98828125
69	58515.98046875
70	58549.54296875
71	58414.8203125
72	58510.5546875
73	58511.5546875
74	58516.8984375
75	58541.11328125
76	58553.3515625
77	58513.0234375
78	58517.6015625
79	58531.9453125
80	58416.90625
81	58528.79296875
82	58524.7890625
83	58524.38671875
84	58515.16796875
85	58514.13671875
86	58504.2734375
87	58469.875
88	58518.3828125
89	58523.05078125
90	58519.32421875
91	58534.30078125
92	58355.1953125
93	58523.6796875
94	58532.57421875
95	58524.05078125
96	58458.41796875
97	58476.28125
98	58426.11328125
99	58525.58203125
100	58518.9375
101	58603.3203125
102	58526.5390625
103	58488.30078125
104	58519.9140625
105	58523.64453125
106	58452.73828125
107	58521.8671875
108	58517.6015625
109	58345.8359375
110	58491.8125
111	58522.67578125
112	58526.8203125
113	58519.41796875
114	58513.17578125
115	58521.0078125
116	58518.6484375
117	58528.82421875
118	58514.3359375
119	58530.8046875
120	58516.1640625
121	58518.5234375
122	58518.95703125
123	58543.7734375
124	58512.23828125
125	58447.6484375
126	58513.32421875
127	58513.73828125
128	58516.10546875
129	58519.73046875
130	58514.6640625
131	58530.98046875
132	58522.92578125
133	58518.8671875
134	58515.25
135	58521.70703125
136	58517.0625
137	58510.98046875
138	58499.1796875
139	58514.4921875
140	58517.42578125
141	58491.5625
142	58517.66796875
143	58515.57421875
144	58521.90625
145	58518.75
146	58522.2734375
147	58513.60546875
148	58493.8671875
149	58522.2578125
150	58518.40625
151	58519.88671875
152	58545.0703125
153	58515.26953125
154	58517.3984375
155	58519.66796875
156	58512.67578125
157	58511.9765625
158	58519.0859375
159	58518.35546875
160	58555.7734375
161	58512.2421875
162	58520.59375
163	58514.95703125
164	58521.33203125
165	58469.91796875
166	58533.1875
167	58520.2265625
168	58489.7265625
169	58517.55078125
170	58450.58203125
171	58509.8203125
172	58517.3828125
173	58518.86328125
174	58512.48046875
175	58589.1328125
176	58526.11328125
177	58458.0625
178	58518.1796875
179	58514.44921875
180	58515.05078125
181	58520.67578125
182	58497.86328125
183	58529.73828125
184	58518.8828125
185	58515.58203125
186	58519.51171875
187	58520.1640625
188	58514.78125
189	58557.1171875
190	58521.88671875
191	58520.79296875
192	58496.9609375
193	58521.8828125
194	58516.4765625
195	58519.14453125
196	58518.54296875
197	58518.39453125
198	58519.2421875
199	58551.25
200	58516.48828125
201	58521.91796875
202	58488.1640625
203	58518.1484375
204	58517.7109375
205	58520.58203125
206	58489.73046875
207	58517.09375
208	58515.7734375
209	58518.7109375
210	58521.17578125
211	58525.3125
212	58521.3515625
213	58523.2265625
214	58521.9609375
215	58520.70703125
216	58513.80078125
217	58517.0
218	58523.35546875
219	58454.9609375
220	58522.0
221	58520.9375
222	58519.78125
223	58523.33203125
224	58516.6171875
225	58530.85546875
226	58516.45703125
227	58519.11328125
228	58516.64453125
229	58516.4921875
230	58518.5
231	58516.4609375
232	58519.6953125
233	58521.1796875
234	58512.9453125
235	58517.1171875
236	58514.11328125
237	58516.01953125
238	58522.2890625
239	58522.38671875
240	58457.5625
241	58518.9765625
242	58518.29296875
243	58516.05078125
244	58503.75
245	58518.1328125
246	58516.9296875
247	58516.30078125
248	58517.1484375
249	58516.1328125
250	58517.04296875
251	58518.625
252	58519.8359375
253	58515.66796875
254	58518.78125
255	58520.92578125
256	58516.76953125
257	58491.25
258	58510.875
259	58516.46875
260	58517.4375
261	58517.11328125
262	58519.7578125
263	58519.3984375
264	58515.76171875
265	58518.85546875
266	58511.6953125
267	58521.42578125
268	58519.10546875
269	58522.0703125
270	58517.625
271	58515.6328125
272	58516.8671875
273	58516.6015625
274	58517.1015625
275	58517.2890625
276	58516.1875
277	58513.5
278	58519.4453125
279	58518.76953125
280	58511.3515625
281	58516.8359375
282	58520.1328125
283	58521.8359375
284	58515.8515625
285	58516.65625
286	58517.7265625
287	58522.6484375
288	58518.6640625
289	58521.94921875
290	58518.78125
291	58519.30078125
292	58521.23828125
293	58530.7421875
294	58524.08203125
295	58524.54296875
296	58554.1953125
297	58518.5546875
298	58523.86328125
299	58521.92578125
300	58517.29296875
301	58514.39453125
302	58514.1953125
303	58521.1015625
304	58517.29296875
305	58517.82421875
306	58505.67578125
307	58516.42578125
308	58512.63671875
309	58516.26171875
310	58518.5
311	58515.86328125
312	58519.6015625
313	58518.34375
314	58528.6640625
315	58517.10546875
316	58534.5625
317	58531.4765625
318	58516.7265625
319	58528.94921875
320	58520.76953125
321	58519.0859375
322	58525.38671875
323	58517.57421875
324	58517.65625
325	58516.51171875
326	58511.54296875
327	58519.15625
328	58514.23046875
329	58516.6015625
330	58521.10546875
331	58517.78125
332	58518.5
333	58515.91796875
334	58517.4453125
335	58517.51953125
336	58517.5234375
337	58503.20703125
338	58515.09375
339	58515.23828125
340	58513.96875
341	58517.45703125
342	58520.61328125
343	58517.0625
344	58516.04296875
345	58516.0390625
346	58520.51953125
347	58518.1015625
348	58517.25
349	58516.4453125
350	58515.59375
351	58514.09375
352	58516.5546875
353	58519.51953125
354	58514.6484375
355	58517.7734375
356	58519.20703125
357	58522.89453125
358	58517.84375
359	58510.11328125
360	58520.26171875
361	58519.3671875
362	58517.4765625
363	58526.51171875
364	58518.08203125
365	58520.83203125
366	58520.17578125
367	58518.14453125
368	58516.03125
369	58516.09375
370	58522.4140625
371	58515.28125
372	58525.125
373	58516.4609375
374	58513.55078125
375	58518.2578125
376	58531.875
377	58517.6484375
378	58518.51953125
379	58515.5546875
380	58508.7734375
381	58517.3984375
382	58516.0078125
383	58517.7265625
384	58516.64453125
385	58516.5625
386	58519.23046875
387	58522.41796875
388	58515.2109375
389	58518.625
390	58518.8359375
391	58516.4375
392	58514.9921875
393	58512.63671875
394	58523.3359375
395	58518.7109375
396	58519.4765625
397	58514.6640625
398	58524.8125
399	58514.5078125
400	58518.6875
401	58518.3359375
402	58512.3515625
403	58516.0
404	58516.5
405	58520.88671875
406	58520.14453125
407	58512.17578125
408	58520.44921875
409	58516.6796875
410	58520.9140625
411	58520.48046875
412	58514.01171875
413	58518.38671875
414	58518.3046875
415	58512.32421875
416	58521.4765625
417	58520.4140625
418	58517.9140625
419	58520.6015625
420	58513.4921875
421	58517.2734375
422	58521.73046875
423	58520.0390625
424	58522.8359375
425	58517.63671875
426	58513.6875
427	58520.5546875
428	58516.6015625
429	58517.94921875
430	58517.85546875
431	58516.98046875
432	58518.94921875
433	58517.86328125
434	58519.1875
435	58515.2109375
436	58516.3125
437	58516.6640625
438	58520.5625
439	58518.61328125
440	58518.92578125
441	58517.88671875
442	58513.26171875
443	58514.89453125
444	58515.05078125
445	58515.3828125
446	58515.7890625
447	58519.0546875
448	58514.7421875
449	58519.3515625
450	58516.30078125
451	58518.05078125
452	58514.1171875
453	58517.3359375
454	58515.6875
455	58515.26953125
456	58520.7890625
457	58518.3046875
458	58519.2578125
459	58516.40625
460	58514.51953125
461	58515.17578125
462	58513.48046875
463	58511.3203125
464	58521.5703125
465	58519.58203125
466	58519.4609375
467	58517.8046875
468	58519.65625
469	58514.8203125
470	58516.0390625
471	58522.9453125
472	58519.4609375
473	58516.0859375
474	58517.6015625
475	58516.26953125
476	58517.6796875
477	58517.125
478	58520.29296875
479	58519.98828125
480	58513.5390625
481	58518.57421875
482	58520.76171875
483	58513.1015625
484	58519.0
485	58517.6484375
486	58496.82421875
487	58518.55078125
488	58519.2109375
489	58517.13671875
490	58516.6640625
491	58517.3671875
492	58517.94921875
493	58520.67578125
494	58520.6875
495	58515.33203125
496	58516.5859375
497	58516.875
498	58516.04296875
499	58518.9609375
500	58518.2265625
501	58518.14453125
502	58516.94921875
503	58520.125
504	58518.6015625
505	58521.17578125
506	58517.6015625
507	58519.17578125
508	58515.8984375
509	58518.05078125
510	58518.0
511	58515.98828125
512	58517.28125
513	58517.64453125
514	58515.14453125
515	58515.875
