	z_coordinate_0	z_coordinate_1
0	6.35459	4.0536046
1	5.046659	7.9301996
2	-0.40078285	8.438587
3	4.0304894	7.9996305
4	5.781389	4.89107
5	-4.9839306	7.322849
6	4.3354983	7.2773366
7	4.0261106	7.69089
8	0.39033052	8.823989
9	4.556929	7.15175
10	5.89719	5.2126336
11	3.6611369	8.17869
12	-3.5700667	7.8928742
13	-5.5972166	7.283332
14	0.26367584	6.6245556
15	-5.015372	7.3282967
16	3.5011325	8.272312
17	0.15602154	8.274109
18	3.4072208	8.412605
19	4.8586864	4.914095
20	1.0343957	8.824135
21	-5.446833	6.666877
22	0.09813246	6.3838487
23	0.6035813	6.354196
24	-2.9204803	3.5746052
25	-4.3397083	5.1694837
26	-0.7039627	7.657726
27	3.071887	8.982138
28	3.4615142	4.3692975
29	3.278389	8.476051
30	0.03323841	8.65879
31	-2.0351942	2.8263247
32	-2.828871	3.206251
33	-3.6830468	8.1866455
34	-3.5240736	7.9383473
35	-0.46699318	8.872921
36	-2.7529826	3.3105676
37	5.8598633	4.294881
38	5.3444853	3.87164
39	-5.339969	6.8665814
40	4.152245	7.585096
41	-3.4788027	3.8323998
42	3.212041	3.787007
43	-5.3993897	6.832594
44	-1.3755124	6.0157847
45	-1.7076821	6.16422
46	6.218402	-0.85964566
47	-2.8391352	3.2438262
48	5.074534	0.74140936
49	-0.6078032	7.72681
50	-2.532474	3.0138237
51	-2.585032	7.509346
52	-4.0191417	5.135737
53	-1.9814274	5.0791116
54	3.7428694	4.845588
55	-1.7430382	6.718982
56	-2.8239465	3.1612573
57	2.6839504	4.1790824
58	-2.8093672	3.1458375
59	-1.6602123	6.3765755
60	-3.3170643	3.1406069
61	-1.5755322	5.4065423
62	1.974208	3.7147346
63	2.5355525	4.734137
64	-4.822365	7.449821
65	-2.9407415	3.298955
66	-1.407547	5.894488
67	-1.672693	2.8031611
68	3.4839416	4.576042
69	-3.00393	3.1923954
70	3.277874	3.2393353
71	-2.7322206	7.5149274
72	-2.7485967	3.1394756
73	1.9997354	8.795889
74	-1.3763981	5.8625555
75	-1.327218	6.029219
76	-1.2048107	6.142608
77	-1.2831081	5.8657465
78	0.026154727	1.9239748
79	-0.4753243	6.0696964
80	1.8670923	2.5817895
81	2.3366287	4.2017975
82	-2.7220178	3.1124973
83	0.2725024	5.4115167
84	1.885854	2.5875804
85	-2.2565167	7.546387
86	2.5331156	2.703769
87	-1.4395695	5.2179694
88	1.8439419	3.8789608
89	3.3940425	3.727257
90	-2.1945844	4.8025265
91	1.2885883	4.6601233
92	-0.90687037	2.6419322
93	-0.98462737	2.4747105
94	-2.999731	7.423063
95	1.6504014	3.8497603
96	-3.0648768	2.8391318
97	2.4504004	2.8174052
98	-2.8732867	3.1581051
99	3.3983786	3.0275118
100	3.0829275	2.8510787
101	3.6961164	3.124692
102	0.876464	4.219934
103	-1.7154467	7.140509
104	1.8291299	3.9159863
105	-3.0149717	3.373029
106	1.9931138	2.4151676
107	-2.0295997	2.759072
108	1.749811	2.6031516
109	2.0370743	2.9111938
110	-1.2982676	5.9284563
111	4.13089	2.6583447
112	6.420652	5.291553
113	-2.536808	2.6003454
114	-0.22355571	2.1006143
115	6.9736614	2.9401367
116	0.305938	2.0239928
117	-1.3094084	5.93222
118	2.9172678	3.0907075
119	-2.6665106	2.7719057
120	-1.3037012	2.3771212
121	3.74501	3.3954947
122	2.4008582	2.3119903
123	-1.0476341	5.2853103
124	0.045468837	1.9251881
125	7.4499598	2.3910458
126	-3.0116088	2.9637198
127	1.7297678	2.3089433
128	0.86954904	2.167126
129	0.48661426	2.4643857
130	-2.206984	4.843639
131	-0.07581136	1.8558745
132	3.3909523	2.8538897
133	6.077445	0.010384619
134	-3.3901625	2.777716
135	3.0880647	2.58012
136	0.75645626	2.0335321
137	6.321612	2.3824031
138	5.8154135	-0.0655489
139	0.05514005	1.7597015
140	2.3410356	2.3535876
141	-3.0557885	3.5899482
142	2.1522186	2.2691653
143	1.168883	3.557328
144	7.6988306	-4.6151104
145	-3.8184547	2.688897
146	-1.3300934	2.3525798
147	7.3774595	2.4719362
148	1.7659898	3.8657165
149	7.680044	-4.6827016
150	1.368003	1.711808
151	-6.1888857	0.04461561
152	2.0372968	3.0760798
153	-1.6101983	-8.9688225
154	6.256733	2.2849278
155	2.6227617	-7.8432913
156	-6.2517476	-5.6383157
157	7.3284187	1.6535268
158	6.6886663	-2.253549
159	-6.143096	-4.9466662
160	7.5143175	1.7909608
161	6.219911	-3.9269378
162	-2.630712	-7.1314435
163	2.826303	1.0972931
164	-6.353862	0.7526794
165	-5.532025	-1.7822282
166	2.9390965	0.6896767
167	7.363732	-4.212932
168	-3.3443155	-0.14542216
169	5.1586704	-4.092426
170	6.512208	-1.8744404
171	6.026389	-1.9921224
172	-6.289809	-0.05468124
173	3.6670384	0.14351624
174	6.4759865	-1.8581879
175	5.28541	-7.443048
176	1.5345311	-3.1653442
177	6.61651	-1.964787
178	6.581236	-2.1462805
179	6.5197163	-1.9047854
180	6.4869585	-1.839267
181	3.3144376	0.40916896
182	5.8689623	-4.034916
183	-6.4133472	-4.913308
184	-0.99448895	-9.175466
185	6.592511	-3.419307
186	-0.3968431	-1.2644026
187	-2.909754	-7.2191052
188	-6.559324	-3.9194129
189	6.322447	-2.0689619
190	4.842278	-6.947849
191	4.9890876	-5.85683
192	3.7959962	-1.822789
193	5.244802	-5.667411
194	-1.7712159	-8.393053
195	4.5588503	-1.835721
196	3.8366508	-1.163991
197	2.7131288	-2.4047759
198	-2.9707165	-0.2515301
199	6.4342012	-2.7390664
200	3.993484	-0.97605413
201	4.488401	-2.1948793
202	4.669916	-6.8282037
203	-2.1627426	-7.0033555
204	-5.834164	0.49206924
205	4.1231947	-2.3952582
206	3.8348644	-5.9287143
207	4.1571507	-2.1709702
208	-8.077029	2.3190916
209	4.288595	-1.8429799
210	4.992951	-7.2690682
211	5.6425786	-2.7514813
212	4.255051	-2.0946808
213	-1.2088718	-0.63473827
214	2.0159879	-1.8612037
215	4.3802757	-6.4338994
216	4.6888075	-7.12447
217	3.9823093	-3.2042334
218	2.7788959	-5.098748
219	2.1825066	-1.3341253
220	-7.431466	1.1906941
221	1.9183085	-1.4440143
222	2.367985	-2.7717063
223	-6.5793037	-3.0340283
224	4.5951533	-2.3089898
225	-1.1150922	-1.2666862
226	1.8137524	-2.3722503
227	-6.4474564	-3.8241014
228	-6.5997553	-2.7940118
229	-6.127678	0.14050283
230	-4.411133	-6.4517365
231	-2.1419246	-7.2207937
232	2.7887864	-5.0916057
233	4.433483	-1.7874262
234	4.620128	-6.906258
235	2.1832995	-1.0666301
236	-5.487994	-5.445395
237	-2.0236943	-7.2578406
238	2.585732	-3.4179542
239	-6.8973904	0.385602
240	-6.3235703	-0.47376412
241	-5.2823324	-0.6538531
242	2.235929	-3.1152747
243	-7.1237955	1.3495891
244	0.77344596	-0.6059054
245	3.0953903	-1.3435018
246	-1.0351646	-1.1674397
247	1.794713	-2.452128
248	2.5139513	-3.0641067
249	-5.739564	-4.5759363
250	-6.9703736	1.2219944
251	-2.0419352	-7.14191
252	1.7416823	-2.2684672
253	-1.464122	-6.1585584
254	-5.6165066	0.05726123
255	0.19256976	-1.7705908
256	-5.7879043	1.425041
257	-6.361515	-0.94637686
258	1.8237143	-2.3564625
259	1.7737446	-2.391989
260	1.5750036	-1.6855352
261	-1.6145172	-0.93569666
262	2.2440841	-2.8711
263	1.3489118	-2.2552614
264	2.588942	-4.709057
265	-5.5702653	0.011844963
266	-5.211366	-0.899679
267	3.4845974	-4.9704633
268	1.6253188	-1.8199744
269	-0.38043275	-0.64227617
270	-2.5589473	-0.01996009
271	1.8827789	-2.3697443
272	-4.9272413	-0.07388851
273	1.2584621	-0.81852365
274	-5.263706	-1.1477463
275	6.040971	-2.926237
276	-5.6773405	-0.15877321
277	-0.59793234	-5.26251
278	-3.401095	-0.4314325
279	1.5480406	-3.0644655
280	-1.9999087	-5.8723817
281	-0.303277	-1.5492508
282	1.1881	-0.6253189
283	1.8180645	-2.3551624
284	-0.7864506	-1.1656177
285	-3.687928	-1.6335931
286	-3.1135163	-2.8697214
287	-4.6662207	-0.22947335
288	-4.054712	-2.2294474
289	-4.6317334	-0.7822607
290	-3.497245	0.09019719
291	-4.0498977	-5.451184
292	-5.7792745	-0.06421393
293	-4.132971	-0.23909277
294	-1.8796306	-0.9821828
295	0.13633198	-4.598266
296	-5.0253606	-0.11435485
297	-1.7614365	-4.2258344
298	-3.3112535	-0.32859892
299	-1.809242	-1.0719905
300	2.5346308	-5.024801
301	-1.1827403	-2.907148
302	-2.090816	-1.457891
303	0.30065435	-4.539648
304	-0.3686783	-4.074046
305	-3.2090979	-0.6197645
306	-0.8984138	-1.4795017
307	-0.1450325	-1.7372184
308	0.5636784	-4.093012
309	0.34981298	-1.8656332
310	-3.5243359	-3.3641522
311	-1.5237505	-0.84972435
312	-1.6336964	-1.4524586
313	-1.3303282	-6.2218146
314	-2.3845024	-1.2532291
315	-3.1573713	-3.9192607
316	-1.2254008	-1.3591487
317	-2.8818066	-0.9107807
318	-0.41564122	-0.25290585
319	-4.2564015	-0.2621325
320	2.0610178	-2.900702
321	0.7700188	-4.834035
322	-1.5963792	-0.75798965
323	-4.355895	-0.10433948
324	-1.7514365	-0.9248132
325	-2.296461	-0.7330866
326	0.21921018	-1.6734545
327	1.8159425	-2.3608959
328	0.9760493	-2.960265
329	2.5613441	-1.8839316
330	-4.353235	-0.1795823
331	-3.562777	-3.098171
332	-1.6954685	-0.91639405
333	-4.5956264	-0.1481309
334	-2.563268	-2.3605504
335	-3.749316	-0.6886732
336	-3.5024981	-5.59899
337	-1.2665018	-1.0136619
338	-2.23805	-0.64226735
339	-4.5033946	-1.4730046
340	-2.6414082	-0.73304915
341	-5.597645	0.43361658
342	-4.9036207	-0.43555683
343	-3.0958133	-1.3966105
344	-2.084769	-0.79447657
345	-1.4580623	-1.0450664
346	-0.14749178	-5.0153255
347	0.60376394	-4.054708
348	-2.580342	-3.481034
349	2.5904918	-4.369236
350	-1.0505339	-0.9368556
351	-6.6948066	-1.991375
352	1.5925031	-2.4883285
353	4.525469	-7.1659718
354	-2.8498154	-0.8301533
355	1.2378745	-2.2255437
356	1.8018432	-2.502789
357	-5.430151	-2.490592
358	-3.7114758	-1.464741
