	z_coordinate_0	z_coordinate_1
0	4.1772914	6.3319955
1	4.748148	4.711172
2	5.5054607	5.222763
3	5.1553516	5.168124
4	5.6992373	4.6500454
5	4.6245146	4.9925585
6	5.5148215	4.7836432
7	5.6246333	4.3228903
8	5.9401846	4.3955727
9	5.638508	3.8180807
10	7.7269382	4.064165
11	5.1661816	5.9653296
12	5.4631014	2.8321474
13	4.926236	4.5923924
14	3.711846	7.188172
15	3.2882395	7.3508186
16	5.616148	4.3642197
17	5.4543457	4.5219893
18	1.3467797	4.0660644
19	3.8183706	7.844396
20	5.5599895	4.5011435
21	4.02097	4.978695
22	5.665018	4.4109564
23	1.6735008	3.8059347
24	-1.045678	8.187091
25	5.734061	3.3044376
26	5.6117516	4.33095
27	5.6956215	1.5394617
28	4.881008	2.832017
29	6.2478113	1.761499
30	5.52042	4.1819916
31	5.4588823	5.300229
32	8.619392	3.7809665
33	5.3041854	2.0194352
34	2.1443403	5.0309477
35	5.265623	5.6084948
36	4.150504	4.245616
37	2.3356454	6.287508
38	1.1419005	3.489159
39	1.6597387	5.1108127
40	5.5753164	4.6017575
41	1.4678857	4.054793
42	1.1122189	3.433031
43	5.168735	5.7685065
44	-3.9562693	-6.903718
45	4.98009	6.053856
46	5.2982955	1.888713
47	-4.2957773	-8.516318
48	6.675373	4.262907
49	5.241226	1.8804599
50	0.77030146	2.8275478
51	3.8372953	7.3843436
52	4.0394964	7.0762186
53	1.0872927	3.3491538
54	-0.7143308	9.649609
55	5.208495	5.87129
56	4.690646	-0.18187968
57	1.0089774	3.1243968
58	-0.77394164	9.042724
59	-2.5995634	8.201099
60	5.5626726	4.409494
61	3.9090598	7.405742
62	4.2670503	4.4251976
63	8.224236	-0.655095
64	1.6009486	4.5261726
65	2.7291486	6.975515
66	1.047394	3.2101433
67	0.9938371	3.0856636
68	1.06358	3.430064
69	6.3185453	3.946444
70	5.7348785	3.884021
71	0.80937684	2.7346067
72	1.7765857	5.1364846
73	5.255933	1.6438438
74	5.5297647	5.5855675
75	-0.51296186	9.790725
76	1.0668343	3.6352172
77	2.2379124	4.4753666
78	5.5772676	4.1287913
79	0.8155866	2.738322
80	0.39349318	1.4365901
