	z_coordinate_0	z_coordinate_1
0	-0.9573453	9.968214
1	-0.65962315	9.738968
2	1.6703453	11.399813
3	-0.42174587	9.809667
4	-0.5236833	9.326227
5	-0.37675327	9.862716
6	1.7625139	9.187044
7	-0.9022344	9.411937
8	0.46100795	10.186176
9	-1.4521322	9.706523
10	-1.257146	8.953483
11	-1.5159328	8.578011
12	2.2474382	8.269936
13	0.45572132	9.265606
14	-4.4690986	8.910671
15	-0.6200524	9.27346
16	4.170407	7.3140473
17	4.588182	6.0407486
18	2.244713	10.340607
19	-0.7832081	9.442007
20	6.0279465	4.268289
21	4.242505	6.761695
22	-0.8608963	8.82973
23	5.7166305	4.806271
24	1.9034554	8.181154
25	7.399201	4.9395256
26	-5.353046	-10.453768
27	-3.9540908	9.066994
28	-0.57753235	8.725454
29	-4.5637136	7.945226
30	2.749006	9.652554
31	-5.2853203	8.736817
32	-4.547331	9.407825
33	-0.10058468	9.276516
34	-0.40409335	8.731031
35	-4.9555917	8.03674
36	7.2482505	3.8547525
37	0.51448154	8.399269
38	1.7355272	7.8126426
39	7.061809	4.501013
40	7.312472	4.7943697
41	5.6474185	5.179015
42	-0.9612985	8.938166
43	6.3984823	4.1646395
44	7.958756	4.7668815
45	1.9575717	7.6451836
46	3.129029	-6.2418785
47	2.1923428	8.084103
48	-3.1675432	6.501595
49	3.520643	-6.2142158
50	-1.4022694	8.359627
51	-5.136746	8.348476
52	7.9717584	3.4812129
53	1.64854	7.2764697
54	2.3427331	8.095486
55	8.930142	3.532654
56	-4.9398937	-10.099293
57	1.6247686	7.1446023
58	-5.316011	7.2865934
59	9.628062	3.5034406
60	-5.078342	-9.328646
61	-4.1726394	-10.274563
62	-0.39680353	7.501016
63	1.6889964	7.476549
64	4.2196345	5.622576
65	-4.669021	7.7091074
66	3.8698704	6.042765
67	4.842325	5.3440146
68	9.464133	3.2171743
69	9.220622	3.7398546
70	5.1941147	4.5683084
71	-1.0840855	8.517541
72	1.5734206	6.7773438
73	9.390949	3.1424313
74	8.905208	3.594236
75	-4.4182963	7.9236255
76	-0.17097095	7.204247
77	-5.0469904	-9.4954195
78	7.374755	3.4654725
