	z_coordinate_0	z_coordinate_1
0	0.8153438	-0.4442419
1	2.1010618	2.436952
2	6.3003364	-4.032027
3	-3.434837	-5.947856
4	0.9008714	-8.347112
5	1.0408887	-5.38511
6	-6.2457085	4.1902547
7	4.2285404	1.6096106
8	-4.2155347	7.4503417
9	-4.916744	-0.25508258
10	-2.1573277	0.008010313
11	2.8286765	5.961326
12	2.605009	-8.308478
13	-9.235805	-1.1713254
14	7.0610037	3.057888
15	0.23888475	-3.504141
16	4.3920903	-1.939029
17	-3.4725652	4.0011067
18	-2.8344474	7.6845975
19	-8.719151	-1.9899778
20	1.3010116	4.202743
21	-4.5401015	7.630663
22	-6.2599072	0.4820338
23	-8.29106	1.08276
24	7.3790708	3.2739882
25	-8.344002	1.111196
26	0.20632532	-5.6965632
27	8.288534	1.764297
28	-3.3230364	-3.253
29	-4.631635	3.901345
30	4.0141697	2.7490308
31	-3.050844	-6.268346
32	5.1718636	4.878247
33	-1.3816403	-1.7947654
34	1.21762	5.274553
35	7.95728	1.5815314
36	-4.984474	-1.5001565
37	6.014568	-2.1995323
38	0.7432173	-6.259276
39	1.3353587	-3.617514
40	-6.393806	-4.3686814
41	-5.9048367	-0.055205375
42	-8.214128	-0.7666122
43	-7.7073426	2.0761385
44	-3.3533	-7.0395517
45	2.079582	5.4459534
46	-6.487884	-4.8342037
47	8.521904	1.6689737
48	3.8025818	2.127009
49	7.3992476	3.0835214
50	7.9176335	2.007411
51	-6.9912467	0.39019078
52	-1.792775	0.5912999
53	-3.9794812	7.953355
54	2.3072686	4.985769
55	-2.1810408	-1.2500539
56	3.6617312	3.6262417
57	8.102821	4.819868
58	-6.076385	-4.955041
59	-9.950963	-0.56201196
60	5.2788568	-4.9478316
61	5.249476	0.034041315
62	-1.8436567	-0.8155415
63	7.1190133	3.1752245
64	-5.364228	-0.8952501
65	-1.7235434	-0.10089289
66	-5.612198	-5.517301
67	-4.6388364	1.2534115
68	-4.686331	1.7524611
69	7.6125274	-3.3826933
70	-0.8583308	-1.7303903
71	6.8047676	-4.104948
72	-6.315623	-4.322482
73	-4.3105397	7.1619925
74	-3.2073412	-3.2508068
75	1.3463442	-0.5596895
76	0.46602312	-3.1542225
77	3.2618933	3.4043067
78	2.7156346	6.7432723
79	1.5754477	-3.7052622
80	1.6838555	2.2017725
81	-2.734651	-1.8826537
82	1.4753771	5.5416327
83	-1.4224699	4.8738556
84	-4.6395345	-6.229697
85	-7.7486844	-3.5222404
86	-4.473007	7.709507
87	-3.6116042	6.7582245
88	-6.7966895	-3.073218
89	3.4241307	2.963888
90	-2.6257248	6.4722824
91	-2.9548585	4.9854884
92	6.8494525	2.569925
93	3.080883	6.783003
94	-8.344335	-2.7203965
95	5.8157554	1.3688045
96	3.5700996	2.7692628
97	3.5835695	7.2335777
98	7.232747	-3.8454945
99	-0.09506055	3.8640394
100	1.0241953	-3.487699
101	6.017315	-5.01227
102	5.902455	-3.0939026
103	-3.4962993	4.9207134
104	1.8592058	-8.471716
105	-5.390969	7.879074
106	-5.3121986	-2.2169805
107	6.1132016	7.1012244
108	2.5697079	4.891569
109	-6.5535083	1.3168824
110	3.4908452	-6.6475124
111	-2.7655942	-6.535629
112	0.7231963	2.5592144
113	4.8161902	0.9354056
114	-6.9942274	-2.176387
115	-3.1440272	5.455805
116	8.096337	2.1581872
117	0.7119796	-8.248323
118	4.039936	-5.6651993
119	0.5379904	5.446639
120	-3.6014247	4.691056
121	2.85912	-4.3329835
122	-3.4086757	-0.97820306
123	-8.797195	-1.4941642
124	1.7316996	6.246793
125	-3.1651757	3.5014515
126	6.6726737	-5.535527
127	-1.8116425	0.11836037
128	-6.633227	-4.7180467
129	-6.2583947	1.8227028
130	-7.5065765	1.1853622
131	3.5324001	-8.124636
132	-3.240194	5.5994997
133	2.8994112	3.544229
134	1.6649152	-4.133397
135	-3.2948709	-1.2179313
136	-9.146901	-1.4521358
137	-3.8261774	6.451885
138	-2.4232368	-4.266879
139	5.5854707	-6.1221333
140	5.6301374	-5.9769406
141	-3.0367157	7.526903
142	2.327283	-6.774271
143	1.8268586	-8.315473
144	-4.449105	5.4371104
145	-8.71104	-0.94252646
146	2.8641577	3.1940238
147	6.7051234	-5.698385
148	5.0302615	-4.533581
149	-2.6097426	-3.5807369
150	0.71064603	0.046021476
151	-6.778867	-1.4014356
152	6.1335826	3.3529117
153	-5.529201	1.3210714
154	-4.4550805	-1.9497087
155	6.2724204	-4.748621
156	4.0512133	-5.5648937
157	4.049734	3.8119414
158	-3.4431686	7.8527594
159	3.9517627	7.720662
160	-2.8932097	7.688708
161	2.6654577	6.759816
162	2.11325	-3.7540607
163	-5.1169877	7.595458
164	0.61378884	0.073272645
165	1.0510597	-5.452379
166	0.9481602	-8.287774
167	-9.756644	-0.8857268
168	-4.562177	1.1006202
169	-1.5142612	-3.0535958
170	-1.2462243	-1.1421216
171	3.0808878	2.7589753
172	0.9082717	-1.1370122
173	5.4302745	5.1454973
174	-5.129481	-1.8140843
175	0.88492984	-3.131276
176	-3.2339525	5.65036
177	-4.484901	6.777443
178	8.33277	1.778986
179	-4.426584	7.4771156
180	-9.301331	-1.5935726
181	7.350371	3.0936663
182	1.6291062	2.3415987
183	6.843886	-3.6143665
184	5.8986645	-2.9190662
185	-2.2421947	0.26693422
186	5.8586144	4.0915484
187	-4.4429326	-5.310807
188	-3.2621837	6.4546866
189	-1.8305538	-3.642247
190	-4.3544116	7.359767
191	4.9605603	-4.3343644
192	6.687744	-3.9148996
193	3.4284656	-2.897459
194	2.5403898	-3.1058245
195	6.624164	-6.1817617
196	-0.7543806	-8.254334
197	2.4869404	-3.7523496
198	3.527204	2.4375432
199	3.1478324	-3.0604851
200	4.0038247	-2.685621
201	1.4890401	-3.7357993
202	-2.0810907	-0.016255468
203	1.4754275	2.4933944
204	7.157495	2.752591
205	-7.21178	-2.3004377
206	1.8789049	-4.24111
207	7.612183	-3.6373708
208	-1.3787028	-7.8480577
209	2.4605715	-3.2243273
210	0.6886386	-4.2870197
211	0.97716606	-7.3603373
212	-6.257465	-5.4554443
213	2.132182	2.40155
214	3.0466037	4.5839624
215	-1.0947284	-2.2484074
216	-1.8910838	6.659856
217	-3.402039	-0.4177107
218	-4.635572	-5.007373
219	3.7894492	2.992551
220	-3.5737438	-3.1946905
221	-5.48889	-3.300925
222	-5.376259	-0.1377356
223	-9.14824	-1.1382437
224	-3.675696	-3.4212592
225	3.1341183	-3.6740444
226	-0.89966047	-3.5129573
227	0.05607731	-6.502738
228	-1.4808028	-3.6255407
229	-4.298902	5.373231
230	7.676945	1.621548
231	-3.8007858	-5.5253363
232	1.2171605	3.505067
233	-6.8201933	1.7827034
234	-5.90776	0.22693184
235	-6.062956	-2.5787153
236	4.079859	-5.802058
237	8.353715	1.6040462
238	-0.9625932	-0.5045545
239	-3.5513704	7.628317
240	2.2025962	1.2894144
241	-7.6560016	-3.5072615
242	-3.1552591	2.1287026
243	3.4367614	3.440369
244	-0.7529913	-1.924134
245	5.2397017	3.155195
246	-4.3886275	0.28290802
247	-4.2658687	7.2677317
248	-2.2136002	-4.3626556
249	6.5290866	2.6597927
250	-1.617256	-5.6046705
251	-3.532642	3.6001432
252	3.2590451	3.3302824
253	2.1972146	3.2385004
254	-1.215351	-2.8625205
255	-2.4899693	8.524519
256	-2.469389	4.511937
257	5.9700503	2.0136998
258	-2.1115096	0.040449247
259	-1.0328704	-3.0280807
260	-5.9697576	-3.8743083
261	1.9719341	-4.685685
262	3.0736861	2.7787004
263	6.9702754	-3.3516552
264	3.3172371	6.436279
265	4.7745748	2.7639968
266	5.4520564	2.650194
267	5.6802773	-3.5225453
268	6.58707	5.152322
269	-8.584507	-2.4077256
270	-4.006745	8.520912
271	4.9421372	3.3815844
272	0.40582657	-7.589417
273	-2.1064525	4.9174128
274	-8.00748	-2.1988404
275	6.563939	7.185768
276	-3.9272418	-1.1968246
277	-0.37785488	-0.59707296
278	-2.5480108	6.102123
279	-1.3411067	4.907053
280	4.1458583	-3.1071415
281	2.4860942	6.872529
282	1.1698283	-3.3450863
283	-1.6804637	-3.6028187
284	1.1324841	-7.2676973
285	5.26368	-4.4207387
286	-3.2116625	7.96962
287	3.8574696	1.6764054
288	1.8564159	6.1641526
289	-3.051103	-7.474499
290	-6.1732755	-2.7636564
291	7.5158257	2.1671288
292	-5.420176	-3.3306572
293	-3.676469	6.7132325
294	6.025618	-6.1607475
295	-9.6741705	-0.8278719
296	-6.8949523	0.6412705
297	6.801444	-3.7415226
298	5.710915	-3.2271745
299	4.9555817	0.49626708
300	2.8121157	6.519473
301	-3.7034836	7.3012333
302	-3.0851746	0.35371038
303	1.5104042	-3.2086666
304	-4.570763	0.01652047
305	0.6865773	-4.7270617
306	5.452222	-5.919611
307	-7.2268343	-3.8345618
308	2.4598985	-7.1895103
309	1.8744488	5.922137
310	-4.2385545	7.754043
311	-3.2593436	7.7378273
312	-0.2855134	1.8644861
313	-3.0985024	-6.2070923
314	-0.14609349	-2.5655785
315	-3.7987642	6.633128
316	0.6595857	0.09390539
