	z_coordinate_0	z_coordinate_1
0	8.767646	-2.764953
1	8.671852	0.07893409
2	2.4805038	-9.446464
3	6.002693	-6.6149716
4	7.550123	2.4415557
5	6.902813	-5.0558414
6	2.6230416	-9.20775
7	9.382343	0.81651
8	5.61177	-6.1023273
9	6.5774508	-4.9666953
10	7.7317595	-1.7464845
11	6.3918724	-5.0732636
12	4.461355	-6.2386565
13	6.917433	-4.7112384
14	7.2684565	1.1767241
15	7.2441893	1.3693166
16	8.127087	-2.0882378
17	8.614883	1.3553407
18	6.50675	-4.009777
19	5.99379	-3.2846675
20	6.3317213	-4.198821
21	5.131679	-4.618392
22	7.590527	-2.0782027
23	10.358231	1.3101697
24	6.13081	0.96000683
25	2.3834467	1.6951562
26	6.7680163	2.9875808
27	7.244851	1.7431445
28	6.258639	2.6685066
29	7.3464727	-1.5517428
30	5.0930333	-4.9368763
31	6.2070603	-4.056306
32	5.8913617	-1.8296173
33	4.313819	5.4924955
34	4.102204	4.6548357
35	7.836558	-0.48693824
36	8.663906	1.0688406
37	6.0677633	-1.4401138
38	4.4134665	4.835304
39	3.889728	-6.068098
40	4.9233365	-4.9086876
41	9.820012	1.0478973
42	5.011675	-4.481205
43	6.1304626	2.526558
44	4.0687304	-4.7915354
45	9.721113	1.3088973
46	5.503832	-0.42877966
47	5.9212117	1.0120173
48	-4.1498747	-10.790764
49	4.2566614	5.2593756
50	-4.486476	-11.491654
51	5.9943786	0.68274057
52	3.7328029	4.755571
53	5.864279	-0.40108758
54	6.9011927	2.0757036
55	5.75476	2.482496
56	3.7646732	-3.5728128
57	5.340869	-0.7099439
58	3.877672	5.44686
59	3.461862	-2.7545602
60	4.2514787	5.016394
61	5.390725	0.18689503
62	6.1576166	2.9469323
63	1.8315827	1.671972
64	3.371413	-1.0523971
65	3.1078005	-0.98925996
66	8.95667	0.90844715
67	3.9790554	4.6035676
68	5.3198485	0.8929602
69	3.5688245	3.9865665
70	3.8714068	-4.0565443
71	4.2445393	5.0234833
72	2.8778896	-3.6496863
73	6.1838584	-0.008666098
74	4.103023	5.070034
75	7.284993	-1.9677415
76	3.2797298	-0.46260083
77	5.829979	1.9570868
78	1.6497198	-2.2928305
79	5.3857226	1.380578
80	2.4572816	-2.1477337
81	5.434848	0.23336177
82	3.243839	-4.1243143
83	3.6354942	-1.671392
84	3.8331187	5.2767296
85	5.19577	-0.92309403
86	3.5146928	-0.9679347
87	6.3275814	-0.36453295
88	2.785485	-4.0530343
89	5.4191847	2.3585057
90	2.9565125	-0.82427996
91	2.7154853	-3.7413476
92	5.8299074	0.8294571
93	3.2975037	-0.79805505
94	3.2725005	3.9355264
95	2.990992	3.1029894
96	6.6522975	1.3296459
97	2.8938754	-0.6982986
98	4.1819153	5.0508604
99	2.684907	-3.213378
100	5.9757566	2.183937
101	2.2054725	-3.1657672
102	2.4049532	-3.6209626
103	2.4500954	-3.6859465
104	2.2954993	-2.8393795
105	6.0676517	-0.660664
106	2.9300325	-0.875263
107	5.3531785	2.106325
108	2.6406431	-2.9202156
109	3.376182	4.223255
110	2.3060615	-2.7643886
111	2.3728952	-2.8712258
112	5.414972	1.3220506
113	2.1883173	-4.56733
114	2.2042246	-4.4946046
115	3.7391665	5.568631
116	2.13344	-0.79433024
117	-0.28064612	-7.0163293
118	2.2982047	-1.161757
119	6.0240936	2.222849
120	2.4956007	-3.326003
121	3.2165918	6.641935
122	3.1117692	3.7092686
123	2.1769364	-3.3596296
124	1.8072542	-3.3295107
125	4.5611362	0.7860429
126	2.0884588	-0.08791183
127	-0.53225994	-7.0204515
128	3.5577216	5.0091853
129	2.0383544	-2.356784
130	2.2942123	-1.3061843
131	2.2235963	-2.1710868
132	6.0732675	1.5036783
133	2.0979476	-1.1363561
134	2.0317535	-3.9211206
135	-3.8664176	-8.683249
136	4.715971	2.8300729
137	1.7881063	-3.3975425
