	log_likelihood
0	3.3899148
1	6.8717003
2	3.084219
3	10.043446
4	0.49308997
5	14.7547
6	4.278591
7	5.898817
8	12.476298
9	13.77701
10	11.21084
11	14.988812
12	10.626364
13	11.983827
14	-5.389181
15	8.42404
16	7.2776976
17	-7.6475525
18	14.4872055
19	10.861341
20	14.2052765
21	15.766245
22	1.8106419
23	4.127307
24	7.492533
25	-17.720661
26	6.1287184
27	7.574603
28	15.8869915
29	5.9596395
30	14.793904
31	14.279612
32	4.015574
33	16.996613
34	17.29459
35	2.819107
36	9.46216
37	6.48973
38	21.34776
39	10.357046
40	18.117422
41	4.2712774
42	14.642075
43	18.196323
44	17.069174
45	4.884599
46	15.634565
47	7.9721937
48	12.652289
49	16.195889
50	11.077617
51	9.491487
52	11.509547
53	7.4208055
54	5.6429877
55	17.629257
56	14.453791
57	15.4722595
58	21.785526
59	12.930608
60	22.953789
61	14.677101
62	5.9232283
63	-11.320592
64	19.224417
65	9.184191
66	7.750107
67	23.38627
68	13.752083
69	18.734241
70	14.811493
71	18.765999
72	20.486393
73	11.722775
74	23.808569
75	6.0986605
76	10.95302
77	15.359659
78	3.1394322
79	15.293375
80	19.118383
81	15.87541
82	18.172754
83	13.158602
84	23.739094
85	11.227759
86	15.712805
87	3.6844532
88	19.060596
89	16.343786
90	18.61305
91	18.072775
92	7.574125
93	14.099983
94	18.509708
95	17.005108
96	0.55812055
97	17.166752
98	20.803171
99	17.916662
100	14.603088
101	20.165382
102	20.928638
103	20.433681
104	13.972384
105	11.377031
106	20.418783
107	13.1469755
108	17.065554
109	11.107428
110	19.795883
111	18.401583
112	14.78668
113	15.255748
114	3.4564385
115	23.07814
116	17.313427
117	13.543268
118	20.739693
119	13.160825
120	21.14909
121	1.5696747
122	17.165054
123	20.319008
124	18.992521
125	18.950245
126	18.593098
127	15.148163
128	16.605995
129	18.497265
130	22.061161
131	15.9935
132	9.231645
133	20.53854
134	19.5602
135	14.103907
136	14.611481
137	20.853594
138	20.310825
139	15.327875
140	14.178538
141	20.646345
142	19.734034
143	7.673688
144	20.958645
145	17.479313
146	18.531832
147	10.296347
148	19.742645
149	13.488655
150	12.498459
151	16.501667
152	20.492779
153	19.146633
154	18.888832
155	23.487951
156	17.986322
157	19.851114
158	23.189413
159	11.083526
160	21.887918
161	16.444683
162	12.51335
163	19.895466
164	23.889668
165	21.378752
166	22.674772
167	10.637615
168	17.97846
169	19.995895
170	25.59809
171	12.012012
172	23.870615
173	19.151697
174	25.704199
175	21.346102
176	23.604843
177	23.292015
178	29.235744
179	22.680317
180	22.818888
181	21.702017
182	24.019064
183	26.002438
184	17.45357
185	27.4139
186	24.062384
187	20.510105
188	33.403282
189	26.588797
190	28.947983
191	26.033321
192	25.469746
193	15.143478
194	24.77143
195	26.11254
196	28.017017
197	29.928457
198	26.662594
199	24.102377
200	27.96759
201	23.790302
202	24.837872
203	30.982983
204	20.092255
205	28.44957
206	15.238353
207	30.552868
208	33.172718
209	31.231396
210	16.948673
211	33.712147
212	20.54106
213	27.963856
214	29.485937
215	31.736206
216	29.550797
217	26.530636
218	25.206018
219	28.664068
220	10.050241
221	25.417248
222	12.267401
223	25.893225
224	25.74744
225	22.528233
226	27.02946
227	29.98415
228	24.775333
229	11.753014
230	27.434244
231	24.279331
232	23.058798
233	25.406178
234	15.351759
235	30.941732
236	25.912136
237	16.254005
238	23.243954
239	22.114605
240	29.325296
241	20.311779
242	23.380747
243	29.102774
244	27.284092
245	18.64327
246	28.973368
247	28.005726
248	24.926922
249	30.373362
250	26.140339
251	25.507236
252	15.964518
253	22.131678
254	27.435486
255	21.534695
256	29.584192
257	31.92223
258	27.630213
259	23.196527
260	21.836102
261	26.065746
262	31.370071
263	30.47027
264	27.496716
265	32.714817
266	23.550793
267	29.751957
268	29.461056
269	27.650433
270	29.984009
271	30.613678
272	31.01263
273	28.481089
274	26.992819
275	28.387875
276	28.55366
277	22.259338
278	28.84432
279	27.428295
280	31.22022
281	31.299143
282	30.247381
283	33.566154
284	26.460728
285	35.368908
286	31.802734
287	31.868603
288	31.497736
289	34.52505
290	33.310375
291	33.96619
292	30.793148
293	30.095505
294	20.495646
295	29.335602
296	32.050762
297	32.052345
298	30.66298
299	29.12316
300	34.875168
301	28.232843
302	24.74993
303	34.816307
304	35.538765
305	30.933832
306	27.604074
307	25.914639
308	32.961582
309	31.933802
310	34.167915
311	35.238743
312	31.234837
313	31.474884
314	19.13452
315	26.796488
316	30.590115
317	27.197174
318	32.74687
319	25.323368
320	25.676296
321	32.33598
322	27.878513
323	31.104578
324	33.60854
325	33.40467
326	35.12828
327	33.219685
328	32.88183
329	34.43309
330	31.896057
331	22.305954
332	34.749825
333	33.73813
334	32.25626
335	32.093597
336	34.58064
337	32.854374
338	22.291752
339	30.416012
340	31.104803
341	32.65022
342	36.592762
343	26.492554
344	30.858887
345	31.440384
346	33.7646
347	35.038216
348	34.275806
349	33.034645
350	34.78531
351	33.57696
352	30.263824
353	34.97266
354	34.209682
355	33.53523
356	32.488037
357	36.396404
358	31.931128
359	35.94953
360	28.283863
361	32.16756
362	34.263336
363	31.845572
364	29.731241
365	24.396744
366	35.631798
367	35.21601
368	26.882086
369	30.848648
370	34.397045
