	log_likelihood
0	12.844884
1	18.194696
2	3.3486238
3	13.337076
4	17.805592
5	16.048397
6	8.452699
7	15.804705
8	14.86846
9	16.746994
10	18.441685
11	16.933996
12	9.549129
13	15.782953
14	21.073488
15	16.714535
16	8.638739
17	13.168162
18	2.352066
19	16.944725
20	-7.8058996
21	13.798128
22	18.724125
23	-10.736029
24	10.189886
25	6.8936033
26	10.256767
27	19.681454
28	15.454221
29	21.918842
30	-2.5170608
31	20.863695
32	20.093813
33	17.296852
34	12.938075
35	22.431103
36	6.771182
37	15.487994
38	9.489251
39	6.938002
40	8.419992
41	-4.7804008
42	16.801245
43	8.928354
44	7.1849165
45	9.714136
46	2.6031578
47	9.4036
48	16.649206
49	8.280481
50	18.128635
51	19.93105
52	1.9543421
53	14.487065
54	8.983019
55	10.93672
56	13.728816
57	14.502414
58	21.593418
59	5.528961
60	11.003581
61	12.381083
62	18.400978
63	12.234507
64	15.040548
65	22.587727
66	15.693619
67	9.457093
68	5.113435
69	0.57024115
70	8.646383
71	17.98076
72	8.264316
73	10.244298
74	6.6945252
75	21.21598
76	12.155355
77	13.342539
78	12.006535
79	15.223598
80	13.432062
81	14.763629
82	16.046633
83	11.915451
84	13.154309
85	18.45364
86	21.874472
87	10.299589
88	20.543695
89	13.167621
90	11.563718
91	18.835182
92	17.948805
93	21.731934
94	19.169407
95	21.032528
96	10.646765
97	7.2133512
98	19.114702
99	16.89597
100	15.733007
101	16.123135
102	12.857386
103	19.073063
104	18.460564
105	18.84343
106	22.047134
107	15.865039
108	17.031761
109	7.4131165
110	13.459325
111	19.47972
112	12.340761
113	13.093195
114	15.889048
115	15.338562
116	11.694984
117	11.663507
118	19.9355
119	21.282421
120	15.899979
121	18.164251
122	17.534124
123	15.787745
124	17.664135
125	16.075281
126	13.4465685
127	19.980392
128	18.309114
129	13.42045
130	17.947332
131	17.835056
132	15.983226
133	20.261333
134	15.983482
135	11.109014
136	8.111906
137	13.47875
138	22.527325
139	16.712591
140	16.707518
141	17.998425
142	17.56071
143	15.032682
144	18.526922
145	17.36745
146	12.124741
147	17.821455
148	14.39094
149	16.06189
150	11.01476
151	15.559624
152	13.020887
153	11.4980755
154	16.639158
155	21.677896
156	18.159943
157	16.754581
158	14.547978
159	16.076569
160	17.470295
161	16.692266
162	14.947159
163	5.9091606
164	13.839899
165	6.44753
166	20.108112
167	13.295054
168	17.837214
169	19.263012
170	11.552503
171	20.937057
172	22.300793
173	17.965641
174	20.064861
175	16.889679
176	16.570307
177	17.403728
178	21.860867
179	18.066809
180	19.817951
181	16.025265
182	21.214603
183	16.56194
184	19.746021
185	19.997797
186	21.80402
187	20.963072
188	19.912271
189	17.239346
190	20.895102
191	17.864843
192	19.597609
193	15.240214
194	8.804418
195	21.415104
196	21.23463
197	14.206984
198	18.595531
199	18.832031
200	19.296642
201	16.842442
202	21.310093
203	21.185192
204	18.360764
205	18.907482
206	19.113503
207	15.205325
208	20.12962
209	19.785328
210	19.460754
211	20.219395
212	17.905365
213	19.270185
214	20.626339
215	10.128504
216	20.55921
217	18.025331
218	23.597
219	16.526745
220	22.320745
221	21.833977
222	8.973407
223	17.009323
224	21.39357
225	16.211863
226	22.359436
227	19.12064
228	21.075754
229	26.775055
230	16.421146
231	18.2839
232	20.616081
233	16.537727
234	17.6096
235	21.253614
236	22.984224
237	0.81242007
238	21.841515
239	16.236233
240	22.601513
241	22.783327
242	16.246632
243	16.180975
244	18.706219
245	10.916567
246	20.471907
247	16.044224
248	22.796621
249	20.238457
250	22.246353
251	15.996069
252	11.516106
253	18.701513
254	8.171826
255	26.655468
256	21.602188
257	20.423306
258	20.615076
259	21.864513
260	12.457344
261	17.57875
262	22.234697
263	8.291807
264	20.714252
265	21.657785
266	22.308365
267	21.573473
268	16.690512
269	19.38266
270	18.614035
271	21.859615
272	15.57419
273	21.16371
274	18.050869
275	20.942453
276	17.036015
277	21.051975
278	14.970255
279	21.008549
280	15.446526
281	26.089548
282	27.954548
283	21.324888
284	18.107544
285	27.498703
286	14.805588
287	23.226994
288	19.490322
289	19.674194
290	26.857204
291	16.731503
292	17.513468
293	18.417248
294	26.37385
295	20.639135
296	22.94702
297	25.969995
298	16.96178
299	21.556808
300	11.2278595
301	21.62875
302	20.093422
303	21.35814
304	19.864193
305	23.599327
306	27.145514
307	19.926294
308	22.183659
309	23.202082
310	20.14375
311	20.58768
312	18.445087
313	20.151983
314	18.328705
315	25.764582
316	21.427181
317	20.19193
318	18.105412
319	18.143959
320	17.526926
321	23.590961
322	22.819643
323	17.91753
324	22.213985
325	17.947771
326	22.890121
327	18.478842
328	22.056276
329	25.118193
330	23.201397
331	13.502179
332	23.366196
333	12.030284
334	22.002464
335	22.026379
336	20.188015
337	18.424679
338	12.671631
339	12.737955
340	22.093382
341	23.036787
342	20.53683
343	24.15295
344	23.027477
345	20.700037
346	23.529566
347	28.404581
348	15.056462
349	22.408428
350	17.26685
351	20.380806
352	18.600939
353	22.532421
354	20.726625
355	20.862513
356	12.1777315
357	26.811722
358	22.780676
359	19.158585
360	18.29889
361	23.377146
362	26.074322
363	21.64971
364	22.958996
365	21.98946
366	21.231558
367	25.16802
368	17.012344
369	22.188652
370	26.218252
371	25.238049
372	26.064352
373	25.894892
374	27.060398
375	21.58257
376	20.235325
377	24.940691
378	22.72143
379	23.47279
380	23.085789
381	28.881214
382	24.723898
383	22.748585
384	15.817111
385	19.199583
386	21.110395
387	22.547646
388	23.6243
389	23.483166
