	z_coordinate_0	z_coordinate_1
0	-4.4304867	-3.2247279
1	-3.9616673	7.95521
2	-5.64462	-4.0145698
3	6.001747	3.4330804
4	3.6613457	-3.1958344
5	-1.6951951	-2.67326
6	-0.25432107	-4.669158
7	-1.9267813	-5.321909
8	0.78720045	-2.2533188
9	2.2460535	1.6304917
10	-2.5244415	7.978228
11	-2.9694934	-0.62567806
12	-4.0084105	-2.8092272
13	6.52785	1.5566658
14	0.84651047	-2.8167782
15	0.20380244	-0.42537865
16	6.9974203	4.7186933
17	-4.702408	-3.1370385
18	-4.530985	6.8887873
19	-0.5807254	3.882673
20	-2.8930764	7.447206
21	-0.08395695	-0.24576059
22	6.0219007	-0.19619706
23	-1.5473887	6.4470983
24	-1.0133753	1.1671512
25	-4.2709	1.0339562
26	4.9105725	6.448751
27	-6.301221	1.3586332
28	-4.440915	0.028232604
29	4.336176	6.4802775
30	0.62784845	-1.6280658
31	0.2178947	3.0452514
32	6.7644916	2.167245
33	-0.1704463	-2.616596
34	6.119364	2.4561722
35	-4.576236	0.08069247
36	5.8291597	0.07157466
37	4.5693674	5.139295
38	-6.9038286	0.16644047
39	3.7490962	-5.7526984
40	-1.6449202	-5.861543
41	-5.748476	-5.1221523
42	-1.6142604	-0.02688095
43	-3.3981574	0.60526836
44	-3.7979271	0.19871227
45	-0.72890943	-1.7866621
46	-1.9755576	-0.61667037
47	5.7083464	0.8332827
48	-4.446784	1.1629671
49	4.2601137	5.4286036
50	2.225121	0.63867843
51	5.5369663	6.4168572
52	4.6729307	6.071673
53	-2.4107926	0.59250784
54	-5.295424	-0.36746034
55	-1.2106719	7.8837247
56	6.1257944	1.0467037
57	-7.128234	-2.0121274
58	7.7277317	4.337197
59	8.726063	4.3147774
60	-4.6978407	0.9091641
61	-3.8585286	2.237582
62	4.3233027	-4.4204564
63	3.297298	3.706022
64	-2.9067333	-0.49039218
65	5.028962	6.2103434
66	-2.8776503	-2.264075
67	-5.883719	-1.746867
68	-4.1394596	0.25726944
69	-6.0310726	-2.545462
70	-3.405972	-2.6925347
