	log_likelihood
0	15.235443
1	10.465677
2	16.633131
3	17.157667
4	11.245675
5	16.138187
6	14.324684
7	18.115093
8	13.320727
9	7.3274
10	15.156125
11	14.529981
12	21.799692
13	18.26033
14	14.720215
15	16.738026
16	10.182359
17	21.012083
18	8.1373825
19	17.68388
20	18.2421
21	13.619804
22	15.991244
23	20.032999
24	19.789478
25	19.173704
26	8.130202
27	20.503977
28	16.805593
29	10.194819
30	17.5492
31	17.765934
32	15.893778
33	18.740524
34	12.239459
35	7.955424
36	18.0322
37	13.931165
38	20.663849
39	13.350939
40	17.377657
41	17.035582
42	19.373432
43	18.975382
44	21.546576
45	19.172398
46	13.912219
47	15.722356
48	23.15292
49	14.280353
50	16.442656
51	12.373423
52	15.551
53	20.511526
54	22.265228
55	14.381816
56	18.14029
57	21.927258
58	14.664665
59	8.845693
60	24.11211
61	19.90954
62	14.000351
63	16.622211
64	22.100452
65	8.854493
66	18.287657
67	23.90125
68	19.020115
69	19.87371
70	18.387096
71	15.973892
72	17.795338
73	18.112514
74	20.492283
75	19.405918
76	15.799448
77	19.046122
78	22.884832
79	17.144152
80	15.591013
81	17.495731
82	15.008975
83	20.26496
84	17.849827
85	9.708259
86	23.173681
87	17.645155
88	19.91282
89	14.792192
90	17.876694
91	18.663694
92	16.984446
93	18.33868
94	18.248333
95	12.200994
96	15.75474
97	15.306027
98	17.861034
99	7.098674
100	14.103865
101	13.423884
102	19.629215
103	15.873711
104	18.012806
105	13.083529
106	16.168869
107	10.419762
108	15.949786
109	4.2275267
110	13.373975
111	16.882322
112	13.710283
113	15.876239
114	16.249685
115	7.7977996
116	15.986089
117	18.822863
118	11.0690775
119	16.193724
120	18.082127
121	18.922396
122	19.276798
123	17.417622
124	19.244177
125	15.529121
126	15.03064
127	16.746891
128	18.15903
129	20.493107
130	18.953903
131	19.061825
132	22.109982
133	15.172917
134	19.885384
135	17.357624
136	15.989912
137	23.272924
138	21.367786
139	16.295338
140	16.449356
141	15.876643
142	18.688015
143	15.61186
144	19.382755
145	16.492455
146	5.7195153
147	18.27035
148	11.852852
149	17.160904
150	17.236298
151	22.54188
